time,target_x,actual_x,obs_meta
0.001,0.25,-7.347690444166003e-17,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.002,0.25,1.1567517744326735e-09,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.003,0.25,1.0380149354018005e-08,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.004,-7.152828068476491,6.103279879464404e-08,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.005,-7.152828068476491,2.4118499750538953e-07,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.006,-7.152828068476491,6.084744413146164e-07,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.007,-7.148836439853451,1.2131196828554723e-06,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.008,-7.148836439853451,2.0964786856040504e-06,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.009000000000000001,-7.144844811230672,3.2983810292302457e-06,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
0.010000000000000002,-7.144844811230672,5.307001178632441e-06,"{'pos': [0.369221598680859, -0.004219153510837612, 0.44304092316455934], 'size': [0.05285838919337976, 0.07614063164723567, 0.07909195537279291], 'type': 6, 'color': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]}"
