episode,visual_alignment,status,success_flag,srr_percent,framing_error_px,cartesian_jerk,path_length_m
diverse_1_20260121_213440_0_episode_0001,0.8592,SUCCESS,1,74.1,82.3,3.301241,0.6728
diverse_1_20260121_213440_0_episode_0002,0.8562,SUCCESS,1,55.2,114.2,3.355133,0.6895
diverse_1_20260121_213826_0_episode_0001,0.8831,SUCCESS,1,75.6,84.6,3.809681,0.5548
diverse_1_20260121_213826_0_episode_0002,0.877,SUCCESS,1,85.5,103.8,3.573893,0.5254
diverse_1_20260121_213826_0_episode_0003,0.8861,SUCCESS,1,96.5,84.5,4.244495,0.552
diverse_1_20260121_213826_0_episode_0004,0.8643,SUCCESS,1,72.0,98.3,3.474213,0.5897
diverse_1_20260121_213826_0_episode_0005,0.906,SUCCESS,1,71.4,70.0,4.047805,0.6277
diverse_1_20260121_213826_0_episode_0006,0.8918,SUCCESS,1,85.0,121.6,3.462557,0.6998
diverse_1_20260121_213826_0_episode_0007,0.893,SUCCESS,1,39.8,150.2,3.560782,0.6984
diverse_1_20260121_213826_0_episode_0008,0.8223,SEMI,0,16.1,147.5,3.529003,0.6624
