time,j0,j1,j2,j3,j4,j5,x,y,z
0.0000,0.08068,-1.26636,-0.80478,-0.33675,-0.53445,3.85290,-0.04136,0.60100,0.20111
0.0101,0.08082,-1.26595,-0.80449,-0.33640,-0.53438,3.85357,-0.04147,0.60110,0.20144
0.1137,0.07777,-1.26588,-0.80336,-0.33637,-0.53559,3.85079,-0.03963,0.60141,0.20182
0.2146,0.06597,-1.26626,-0.79838,-0.33849,-0.54047,3.84592,-0.03248,0.60260,0.20308
0.3173,0.05946,-1.26671,-0.79660,-0.34001,-0.54188,3.84446,-0.02852,0.60306,0.20336
0.4193,0.05365,-1.26740,-0.79355,-0.34101,-0.54607,3.84161,-0.02496,0.60359,0.20384
0.5147,0.04489,-1.26781,-0.79226,-0.34117,-0.54799,3.83804,-0.01966,0.60392,0.20396
0.6104,0.03963,-1.26896,-0.78949,-0.34293,-0.55021,3.83609,-0.01643,0.60436,0.20411
0.7108,0.03107,-1.27052,-0.78793,-0.34426,-0.55223,3.83419,-0.01121,0.60456,0.20364
0.8149,0.02392,-1.27037,-0.78473,-0.34492,-0.55511,3.83209,-0.00685,0.60515,0.20469
0.9129,0.01711,-1.27048,-0.78177,-0.34662,-0.55760,3.82850,-0.00267,0.60566,0.20553
1.0125,0.00865,-1.27058,-0.77845,-0.34740,-0.55968,3.82691,0.00250,0.60621,0.20650
1.1118,0.00345,-1.27130,-0.77523,-0.34976,-0.56049,3.82628,0.00571,0.60670,0.20709
1.2217,-0.00221,-1.27159,-0.77093,-0.35180,-0.56105,3.82523,0.00920,0.60743,0.20830
1.3145,-0.00880,-1.27220,-0.76780,-0.35384,-0.56282,3.82256,0.01326,0.60782,0.20891
1.4114,-0.01327,-1.27317,-0.76309,-0.35711,-0.56476,3.82139,0.01609,0.60848,0.20983
1.5112,-0.02119,-1.27386,-0.75906,-0.35866,-0.56738,3.81884,0.02098,0.60893,0.21066
1.6139,-0.02605,-1.27465,-0.75409,-0.36095,-0.56984,3.81679,0.02405,0.60957,0.21176
1.7114,-0.02946,-1.27529,-0.75050,-0.36183,-0.57273,3.81367,0.02620,0.60998,0.21247
1.8143,-0.03412,-1.27595,-0.74709,-0.36418,-0.57437,3.81199,0.02913,0.61036,0.21316
1.9134,-0.03703,-1.27676,-0.74391,-0.36645,-0.57619,3.80840,0.03099,0.61071,0.21367
2.0135,-0.04059,-1.27820,-0.74165,-0.36853,-0.57819,3.80507,0.03324,0.61081,0.21351
2.1116,-0.04749,-1.27900,-0.73369,-0.37210,-0.57992,3.80158,0.03762,0.61186,0.21560
2.2125,-0.05479,-1.27924,-0.72659,-0.37462,-0.58095,3.79640,0.04222,0.61277,0.21777
2.3102,-0.06006,-1.27791,-0.72329,-0.37667,-0.58188,3.79152,0.04555,0.61321,0.21966
2.4109,-0.06289,-1.27902,-0.71906,-0.37869,-0.58440,3.78511,0.04739,0.61363,0.22033
2.5155,-0.07060,-1.27858,-0.71475,-0.37982,-0.58531,3.78139,0.05221,0.61400,0.22201
2.6131,-0.07365,-1.27877,-0.71176,-0.38066,-0.58565,3.77749,0.05414,0.61432,0.22287
2.7147,-0.07856,-1.27892,-0.70871,-0.38155,-0.58575,3.77499,0.05722,0.61455,0.22379
2.8199,-0.08497,-1.27899,-0.70553,-0.38383,-0.58727,3.77280,0.06127,0.61465,0.22478
2.9122,-0.08818,-1.27966,-0.70269,-0.38693,-0.58783,3.77105,0.06336,0.61486,0.22532
3.0165,-0.09330,-1.28076,-0.70008,-0.39105,-0.58927,3.76882,0.06664,0.61483,0.22551
3.1095,-0.09948,-1.28177,-0.69645,-0.39531,-0.59086,3.76591,0.07060,0.61487,0.22609
3.2116,-0.10512,-1.28185,-0.69103,-0.39941,-0.59184,3.76237,0.07427,0.61533,0.22785
3.3145,-0.11061,-1.28107,-0.68686,-0.39996,-0.59416,3.75681,0.07776,0.61557,0.22968
3.4148,-0.11586,-1.28052,-0.68216,-0.40092,-0.59685,3.75071,0.08113,0.61586,0.23155
3.5142,-0.12162,-1.28111,-0.67818,-0.40305,-0.60032,3.74579,0.08483,0.61585,0.23245
3.6136,-0.12587,-1.28202,-0.67513,-0.40681,-0.60230,3.74231,0.08760,0.61583,0.23290
3.7120,-0.12899,-1.28439,-0.67313,-0.41042,-0.60464,3.73994,0.08965,0.61562,0.23208
3.8154,-0.13209,-1.28572,-0.67043,-0.41535,-0.60647,3.73797,0.09173,0.61560,0.23216
3.9111,-0.13600,-1.28758,-0.66480,-0.41924,-0.60891,3.73497,0.09435,0.61590,0.23287
4.0114,-0.14310,-1.28765,-0.66125,-0.42213,-0.61166,3.73075,0.09888,0.61567,0.23399
4.1111,-0.14641,-1.28900,-0.65759,-0.42521,-0.61435,3.72673,0.10109,0.61571,0.23435
4.2120,-0.15280,-1.29012,-0.65413,-0.42857,-0.61744,3.72396,0.10519,0.61539,0.23478
4.3130,-0.15596,-1.29168,-0.65084,-0.43137,-0.61889,3.72233,0.10728,0.61540,0.23492
4.4121,-0.15761,-1.29402,-0.64836,-0.43650,-0.62166,3.71908,0.10847,0.61533,0.23428
4.5115,-0.16091,-1.29549,-0.64579,-0.44041,-0.62276,3.71768,0.11064,0.61522,0.23424
4.6120,-0.16556,-1.29742,-0.63966,-0.44683,-0.62424,3.71533,0.11380,0.61544,0.23513
4.7132,-0.17383,-1.29740,-0.63390,-0.44909,-0.62551,3.71252,0.11910,0.61530,0.23709
4.8112,-0.17940,-1.29647,-0.62999,-0.45094,-0.62808,3.70799,0.12271,0.61517,0.23896
4.9115,-0.18505,-1.29615,-0.62678,-0.45210,-0.63185,3.70373,0.12633,0.61482,0.24018
5.0118,-0.19369,-1.29575,-0.62345,-0.45516,-0.63462,3.69975,0.13183,0.61412,0.24154
5.1133,-0.19737,-1.29719,-0.62081,-0.45962,-0.63976,3.69696,0.13429,0.61372,0.24148
5.2133,-0.20318,-1.29780,-0.61797,-0.46455,-0.64462,3.69305,0.13809,0.61312,0.24201
5.3134,-0.21043,-1.29929,-0.61384,-0.46951,-0.64723,3.69140,0.14277,0.61249,0.24248
5.4115,-0.21508,-1.30019,-0.60840,-0.47142,-0.64985,3.68776,0.14584,0.61244,0.24373
5.5105,-0.21898,-1.30086,-0.60400,-0.47165,-0.65274,3.68379,0.14838,0.61233,0.24476
5.6103,-0.22305,-1.30176,-0.60040,-0.47372,-0.65528,3.68025,0.15104,0.61207,0.24539
5.7099,-0.22674,-1.30324,-0.59758,-0.47692,-0.65710,3.67836,0.15346,0.61174,0.24542
5.8156,-0.23022,-1.30512,-0.59462,-0.48091,-0.65976,3.67555,0.15576,0.61139,0.24524
5.9127,-0.23428,-1.30745,-0.58999,-0.48470,-0.66146,3.67261,0.15847,0.61117,0.24536
6.0157,-0.24194,-1.30767,-0.58282,-0.48718,-0.66252,3.66701,0.16344,0.61085,0.24768
6.1111,-0.24499,-1.30790,-0.57774,-0.48723,-0.66279,3.66130,0.16548,0.61100,0.24927
6.2097,-0.24808,-1.30846,-0.57228,-0.48850,-0.66380,3.65409,0.16757,0.61114,0.25079
6.3103,-0.25453,-1.30905,-0.56690,-0.48818,-0.66463,3.64819,0.17168,0.61068,0.25225
6.4129,-0.25645,-1.31082,-0.56218,-0.48999,-0.66537,3.64456,0.17304,0.61082,0.25276
6.5102,-0.25983,-1.31275,-0.55696,-0.49262,-0.66626,3.63987,0.17532,0.61076,0.25335
6.6096,-0.26517,-1.31479,-0.55081,-0.49534,-0.66768,3.63437,0.17883,0.61042,0.25418
6.7131,-0.26944,-1.31705,-0.54171,-0.49714,-0.66921,3.62765,0.18177,0.61060,0.25589
6.8138,-0.27512,-1.31654,-0.53720,-0.49737,-0.67248,3.62082,0.18542,0.61001,0.25771
6.9116,-0.27848,-1.31703,-0.53102,-0.49931,-0.67554,3.61411,0.18774,0.60998,0.25951
7.0120,-0.28328,-1.31761,-0.52614,-0.50108,-0.67714,3.61017,0.19087,0.60956,0.26082
7.1114,-0.28731,-1.31930,-0.52164,-0.50358,-0.67750,3.60510,0.19352,0.60921,0.26134
7.2134,-0.29225,-1.32091,-0.51456,-0.50575,-0.67898,3.59919,0.19681,0.60893,0.26277
7.3104,-0.29819,-1.32225,-0.50990,-0.50673,-0.67896,3.59517,0.20059,0.60822,0.26356
