timestamp,phase,q1,q2,q3,q4,q5,q6,ee_x_act,ee_y_act,ee_z_act,ee_x_des,ee_y_des,ee_z_des,err_x,err_y,err_z
0.0000,WAIT_FOR_START,-0.1962,0.1331,-1.4476,0.0134,0.1282,3.1465,0.0632,0.3177,0.7058,0.0603,0.3186,0.7055,-0.002946,0.000886,-0.000317
0.0000,WAIT_FOR_START,-0.2004,0.1307,-1.4582,0.0576,0.2536,3.1117,0.0650,0.3171,0.7060,0.0603,0.3186,0.7055,-0.004770,0.001519,-0.000534
0.0000,WAIT_FOR_START,-0.1987,0.1264,-1.4662,0.0852,0.3764,3.0919,0.0652,0.3169,0.7062,0.0603,0.3186,0.7055,-0.004894,0.001764,-0.000672
0.0000,WAIT_FOR_START,-0.1955,0.1204,-1.4716,0.1005,0.4958,3.0837,0.0648,0.3168,0.7063,0.0603,0.3186,0.7055,-0.004547,0.001871,-0.000774
0.0000,WAIT_FOR_START,-0.1922,0.1128,-1.4745,0.1101,0.6113,3.0809,0.0644,0.3167,0.7063,0.0603,0.3186,0.7055,-0.004099,0.001916,-0.000839
0.0000,WAIT_FOR_START,-0.1889,0.1041,-1.4749,0.1170,0.7225,3.0807,0.0639,0.3167,0.7064,0.0603,0.3186,0.7055,-0.003652,0.001922,-0.000870
0.0000,WAIT_FOR_START,-0.1859,0.0944,-1.4732,0.1224,0.8292,3.0818,0.0635,0.3167,0.7064,0.0603,0.3186,0.7055,-0.003235,0.001897,-0.000873
0.0000,WAIT_FOR_START,-0.1832,0.0840,-1.4696,0.1270,0.9311,3.0838,0.0631,0.3168,0.7064,0.0603,0.3186,0.7055,-0.002857,0.001850,-0.000855
0.0000,WAIT_FOR_START,-0.1808,0.0731,-1.4642,0.1310,1.0282,3.0863,0.0628,0.3168,0.7063,0.0603,0.3186,0.7055,-0.002518,0.001784,-0.000823
0.0000,WAIT_FOR_START,-0.1786,0.0620,-1.4574,0.1347,1.1205,3.0891,0.0625,0.3169,0.7063,0.0603,0.3186,0.7055,-0.002217,0.001706,-0.000782
0.0000,WAIT_FOR_START,-0.1767,0.0508,-1.4493,0.1382,1.2079,3.0922,0.0622,0.3170,0.7062,0.0603,0.3186,0.7055,-0.001950,0.001618,-0.000737
0.0000,WAIT_FOR_START,-0.1750,0.0396,-1.4403,0.1416,1.2885,3.0954,0.0620,0.3172,0.7062,0.0603,0.3186,0.7055,-0.001726,0.001438,-0.000681
0.0000,WAIT_FOR_START,-0.1736,0.0287,-1.4305,0.1449,1.3571,3.0986,0.0619,0.3177,0.7061,0.0603,0.3186,0.7055,-0.001576,0.000945,-0.000620
0.0000,WAIT_FOR_START,-0.1723,0.0183,-1.4204,0.1482,1.4153,3.1020,0.0618,0.3184,0.7061,0.0603,0.3186,0.7055,-0.001487,0.000231,-0.000596
0.0000,WAIT_FOR_START,-0.1712,0.0083,-1.4102,0.1514,1.4649,3.1054,0.0617,0.3193,0.7061,0.0603,0.3186,0.7055,-0.001448,-0.000630,-0.000628
0.0000,WAIT_FOR_START,-0.1702,-0.0010,-1.4001,0.1546,1.5070,3.1088,0.0617,0.3202,0.7062,0.0603,0.3186,0.7055,-0.001449,-0.001580,-0.000719
0.0000,WAIT_FOR_START,-0.1693,-0.0097,-1.3903,0.1577,1.5428,3.1122,0.0618,0.3212,0.7064,0.0603,0.3186,0.7055,-0.001481,-0.002577,-0.000869
0.0000,WAIT_FOR_START,-0.1686,-0.0178,-1.3808,0.1609,1.5732,3.1156,0.0618,0.3222,0.7066,0.0603,0.3186,0.7055,-0.001538,-0.003587,-0.001070
